44798785 c39372b4 c88fb89f c88fb7a3 c88fb1a8 c88efb00
bdd788d2 be837410 3cdd5976 3cdd5883 3cdd4990 3cdc0a00
445ff305 44428955 492a2e4d 492a2dff 492a23d8 4928fe00
d4a229d1 34bf35ee c9f23eb9 c9f23c53 c9f2288c c9f1bc00
3f89619d 3feeeb5d 4000370e 4000364a 40002f74 3ffebc00
af3f4ca9 a635ca83 1607d888 1607d7ae 1607c7b0 16070b00
3f27b878 bd57adca bd0d4dc9 bd0d4cdf bd0d3d9e bd0c4100
3fe24ae6 3fbaa1ef 4024f98f 4024f815 4024efe8 40243400
3fc5dfb1 3f99c589 3fedb6c0 3fedb517 3fed9b58 3feb7a00
bebbd74c 3ed37c47 be1b2da4 be1b2d31 be1b1e9b be1a2100
3f874236 3fddcd3f 3fea6134 3fea6094 3fea4f60 3fe91600
3fe8a18b 3fb8fc1a 40281933 402818b6 40280d16 4026c000
43b6e9cb c3fdd61a c8355e08 c8355d2c c8354ff6 c833de00
438f5b7a c376c146 c78a2e22 c78a2d86 c78a225c c7896a00
bef7ab7d bd40356e 3cb9f44f 3cb9f386 3cb9e66e 3cb94000
2cd0c50a ab7b247d 98cccef2 98ccce83 98ccc658 98cbf000
bec6a2a9 bef9893f 3e419eb4 3e419ddf 3e4194f0 3e409600
bf5d73c0 be1dda98 3e088d15 3e088c1b 3e08819b 3e078900
3fdad317 3f990885 4002cf71 4002cef2 4002c650 40024a00
3f9186fc 3fa9248d 3fc04dc7 3fc04bda 3fc03f60 3fbf7200
3fbe7958 3ff62ae6 40372886 40372786 4037176e 40369400
3fd40462 3fcf79e0 402bd47b 402bd372 402bc8c0 402b6c00
3fe00876 3fac02e3 40168836 40168720 40168000 40168000
3fa0e5a7 3fb803fa 3fe74f20 3fe74cf5 3fe74200 3fe60000
c433237c c2eaabd5 47a436ad 47a435a6 47a42b34 47a39e00
3e8f2dd4 bf3a83a1 be50a1d5 be509fec be5089a0 be4fcc00
3f963c81 3fa44434 3fc0cd92 3fc0ccb0 3fc0b898 3fc03000
4466daca c46d1ab7 c955d0a4 c955cf44 c955bcfd c954ee00
c42779e0 c24d373f 470640bd 47063fe0 47063415 4705bb00
c47276af c2a74e9f 479e75e3 479e74da 479e63ac 479dde00
c3e65c1a 44123866 c8839347 c88392dc c88384cf c8832c00
c41df765 436a41f6 c8108cd6 c8108be2 c81084dc c80f8200
c324cf12 441e6c37 c7cbfaf0 c7cbfa93 c7cbd890 c7ca7000
bf2d9c8e 3f58fda7 bf13281d bf132733 bf131437 bf11f800
43a8526c c46146be c8941ef4 c8941e18 c8941864 c893a800
3fd4e74b 3fccd831 402a5c1c 402a5bb7 402a4f76 4028f000
bf1284ab 3f681e47 bf04d98f bf04d8cb bf04cd28 bf045000
3ff16ee9 3f8ea341 4006857c 400684bd 40067a1c 4005ae00
bf6f637a 3f2971ea bf1e7331 bf1e7206 bf1e6f1a bf1dc700
3f54874c 3f7ac847 3f503265 3f5031df 3f502460 3f4f0800
3ea9f820 3eb6aff1 3df2966f 3df29501 3df275ac 3df04c00
38f9e8fe 572af912 50a6e7de 50a6e723 50a6d902 50a55a00
bf7671d2 3ee5815e bedcf05b bedcef44 bedced68 bedc0e00
